,extra_id,logiciel_id
0,e78,l9
1,e78,l1
2,e78,l11
3,e45,l1
4,e45,l2
5,e60,l8
6,e60,l11
7,e92,l5
8,e37,l1
9,e37,l11
10,e37,l7
11,e91,l4
12,e91,l1
13,e91,l11
14,e15,l11
15,e15,l6
16,e15,l7
17,e118,l8
18,e118,l2
19,e118,l7
20,e76,l8
21,e76,l1
22,e76,l11
23,e54,l8
24,e54,l1
25,e54,l2
26,e41,l8
27,e41,l1
28,e101,l5
29,e59,l7
30,e49,l5
31,e17,l1
32,e17,l6
33,e99,l1
34,e5,l1
35,e5,l6
36,e43,l1
37,e43,l6
38,e115,l1
39,e115,l11
40,e115,l6
41,e109,l1
42,e109,l2
43,e12,l1
44,e46,l1
45,e74,l8
46,e74,l11
47,e74,l6
48,e13,l8
49,e13,l1
50,e13,l2
51,e3,l9
52,e3,l8
53,e3,l11
54,e3,l2
55,e3,l7
56,e57,l8
57,e98,l4
58,e98,l8
59,e98,l11
60,e98,l2
61,e7,l6
62,e129,l1
63,e129,l11
64,e129,l7
65,e110,l9
66,e110,l8
67,e110,l1
68,e110,l11
69,e110,l2
70,e122,l9
71,e122,l8
72,e122,l1
73,e122,l6
74,e105,l8
75,e105,l1
76,e105,l7
77,e111,l5
78,e93,l1
79,e86,l4
80,e86,l1
81,e47,l4
82,e47,l1
83,e47,l11
84,e47,l2
85,e29,l1
86,e52,l1
87,e52,l11
88,e79,l3
89,e66,l8
90,e66,l1
91,e66,l11
92,e66,l7
93,e104,l1
94,e104,l2
95,e75,l4
96,e75,l1
97,e75,l7
98,e11,l1
99,e39,l1
100,e96,l8
101,e138,l1
102,e138,l11
103,e28,l8
104,e24,l5
105,e24,l1
106,e68,l11
107,e117,l8
108,e132,l1
109,e132,l11
110,e132,l2
111,e65,l8
112,e65,l1
113,e83,l1
114,e83,l6
115,e42,l8
116,e42,l1
117,e42,l11
118,e42,l6
119,e42,l2
120,e42,l7
121,e81,l5
122,e25,l6
123,e112,l1
124,e112,l7
125,e50,l1
126,e50,l11
127,e22,l9
128,e22,l1
129,e22,l11
130,e4,l8
131,e137,l4
132,e137,l8
133,e137,l6
134,e137,l7
135,e48,l8
136,e48,l11
137,e48,l2
138,e48,l7
139,e119,l8
140,e119,l1
141,e119,l7
142,e89,l8
143,e89,l1
144,e89,l11
145,e89,l6
146,e89,l7
147,e9,l6
148,e82,l5
149,e82,l3
150,e61,l10
151,e1,l8
