start_of_week,total_missions
2021-12-06,8
2021-12-13,10
2021-12-20,14
2021-12-27,28
2022-01-03,22
2022-01-10,11
2022-01-17,4
2022-01-24,3
2022-01-31,6
2022-02-07,8
2022-02-14,9
2022-02-21,12
2022-02-28,12
2022-03-07,14
2022-03-14,15
2022-03-21,12
2022-03-28,29
2022-04-04,19
2022-04-11,5
2022-04-18,5
2022-04-25,9
2022-05-02,13
2022-05-09,10
2022-05-16,10
2022-05-23,13
2022-05-30,15
2022-06-06,22
2022-06-13,22
2022-06-20,19
2022-06-27,20
2022-07-04,22
2022-07-11,21
2022-07-18,24
2022-07-25,21
2022-08-01,12
2022-08-08,19
2022-08-15,22
2022-08-22,32
2022-08-29,19
2022-09-05,21
2022-09-12,21
2022-09-19,28
2022-09-26,27
2022-10-03,25
2022-10-10,18
2022-10-17,21
2022-10-24,21
2022-10-31,12
2022-11-07,12
2022-11-14,17
2022-11-21,14
2022-11-28,10
2022-12-05,10
2022-12-12,22
2022-12-19,13
2022-12-26,20
2023-01-02,18
2023-01-09,16
2023-01-16,18
2023-01-23,15
2023-01-30,17
2023-02-06,24
2023-02-13,26
2023-02-20,31
2023-02-27,20
2023-03-06,17
2023-03-13,28
2023-03-20,13
2023-03-27,25
2023-04-03,21
2023-04-10,21
2023-04-17,23
2023-04-24,20
2023-05-01,18
2023-05-08,13
2023-05-15,24
2023-05-22,20
2023-05-29,23
2023-06-05,23
2023-06-12,28
2023-06-19,28
2023-06-26,29
2023-07-03,27
2023-07-10,22
2023-07-17,21
2023-07-24,19
2023-07-31,16
2023-08-07,20
2023-08-14,25
2023-08-21,41
2023-08-28,29
2023-09-04,19
2023-09-11,26
2023-09-18,20
2023-09-25,24
2023-10-02,14
2023-10-09,14
2023-10-16,17
2023-10-23,22
2023-10-30,9
2023-11-06,14
2023-11-13,16
2023-11-20,10
2023-11-27,11
2023-12-04,
2023-12-11,
2023-12-18,
2023-12-25,
